method,hospital,seed,split,roc,pr,mcc,f1p,sens,spec,n,neff,u_mean,u_std
Ours_UW_noAux,xiangya,42,val,0.6319444444444444,0.4370061879532162,0.2246907807184079,0.5671641791044776,0.95,0.2222222222222222,56,11.99431154905657,0.26133774742040605,0.009440216321283756
Ours_UW_noAux,xiangya,42,external,0.39999999999999997,0.6556562664898962,0.0,0.8170731707317073,1.0,0.0,97,11.994573139563036,0.26229581190753226,0.009583846842265433
Ours_UW_noAux,xiangya,123,val,0.6680555555555556,0.4872972029525424,0.18090680674665816,0.5538461538461539,0.9,0.25,56,11.997815559211562,0.24390130532195878,0.005462833663445089
Ours_UW_noAux,xiangya,123,external,0.3965174129353234,0.6341165725933822,0.2168352920067421,0.8271604938271605,1.0,0.06666666666666667,97,11.996378861667933,0.24708838259026766,0.007311043285766131
Ours_UW_noAux,xiangya,2024,val,0.6875,0.4792070611650804,0.062017367294604234,0.5277777777777778,0.95,0.08333333333333333,56,11.998783358158844,0.21998627426191453,0.004411057460411592
Ours_UW_noAux,xiangya,2024,external,0.426865671641791,0.6265960328965725,0.0,0.8170731707317073,1.0,0.0,97,11.998315983952619,0.22200314514979055,0.005148582424071365
Ours_UW_noAux,xiangya,3407,val,0.6777777777777778,0.5201540871773054,0.10268720616205405,0.5352112676056338,0.95,0.1111111111111111,56,11.992903512115873,0.23249785387001573,0.00979064125128805
Ours_UW_noAux,xiangya,3407,external,0.4746268656716418,0.6731441217162778,0.0,0.8170731707317073,1.0,0.0,97,11.99039293967944,0.2381138270176768,0.012340929924801153
Ours_UW_noAux,xiangya,114514,val,0.6444444444444444,0.4598098593843619,0.0,0.5263157894736842,1.0,0.0,56,11.997679083508737,0.2585692900188622,0.006200557510483052
Ours_UW_noAux,xiangya,114514,external,0.30199004975124377,0.5862036308631051,0.0,0.8170731707317073,1.0,0.0,97,11.996753984489292,0.2578642440774187,0.007212581605340328
