threshold,ROC-AUC,PR-AUC,平衡准确率,准确率,MCC,敏感度,特异度,PPV,NPV,F1+,TN,FP,FN,TP,rule_meet_sens
0.131,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.132,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.133,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.134,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.135,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.136,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.137,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.138,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.139,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.14,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.141,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.142,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.143,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.144,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.145,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.146,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.147,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.148,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.149,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.15,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.151,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.152,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.153,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.154,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.155,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.156,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.157,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.158,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.159,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
0.16,0.7437114380635975,0.7653693913807209,0.5,0.4673913043478261,0.0,1.0,0.0,0.4673913043478261,0.0,0.6370370370370371,0,98,0,86,True
